DR,A%,DF%,1stIn,1st%,2nd%
0.84,4.5%,1.1%,65.9%,69.0%,36.7%
1.13,9.1%,3.0%,55.6%,65.5%,59.1%
1.32,7.5%,0.0%,68.7%,76.1%,61.9%
2.45,0.0%,2.5%,57.5%,91.3%,64.7%
0.90,3.6%,1.2%,69.0%,65.5%,38.5%
1.24,5.6%,5.6%,50.0%,80.6%,38.9%
1.63,3.6%,5.5%,65.5%,77.8%,57.9%
0.94,7.5%,9.4%,71.7%,71.1%,66.7%
0.96,3.3%,2.2%,63.3%,59.6%,36.4%
0.70,3.2%,1.6%,66.7%,61.9%,57.1%
1.02,5.7%,2.3%,61.4%,74.1%,50.0%
0.78,14.8%,1.9%,72.2%,71.8%,40.0%
0.84,0.0%,2.4%,69.5%,70.2%,20.0%
0.53,2.8%,7.0%,59.2%,78.6%,27.6%
1.09,11.9%,5.1%,58.5%,76.8%,42.9%
0.62,6.5%,7.8%,58.4%,68.9%,43.8%
