DR,A%,DF%,1stIn,1st%,2nd%
0.85,0.9%,0.9%,66.1%,61.1%,45.9%
1.06,4.4%,0.9%,76.1%,68.6%,63.0%
1.55,3.8%,3.8%,69.2%,86.1%,37.5%
0.96,1.0%,0.0%,70.7%,67.1%,44.8%
1.29,0.0%,1.8%,70.9%,56.4%,68.8%
1.20,5.0%,3.3%,65.0%,66.7%,42.9%
0.98,1.5%,2.2%,60.7%,59.8%,54.7%
1.13,2.5%,6.3%,65.0%,67.3%,46.4%
0.59,1.8%,1.8%,57.9%,57.6%,45.8%
0.80,1.1%,2.2%,67.4%,56.5%,53.3%
1.12,3.3%,2.2%,63.3%,63.2%,51.5%
1.53,3.8%,1.9%,56.6%,86.7%,47.8%
1.44,1.8%,5.3%,54.4%,77.4%,65.4%
1.54,1.8%,8.8%,56.1%,71.9%,44.0%
2.22,0.0%,2.2%,62.2%,82.1%,76.5%
1.08,2.0%,2.0%,55.6%,49.1%,45.5%
1.24,5.2%,3.9%,63.6%,65.3%,53.6%
0.65,3.8%,0.0%,71.7%,57.9%,46.7%
1.00,1.1%,3.3%,65.2%,65.0%,53.1%
1.14,4.0%,4.0%,65.7%,61.5%,41.2%
1.69,1.7%,1.7%,66.7%,80.0%,55.0%
