DR,A%,DF%,1stIn,1st%,2nd%
0.92,3.5%,1.2%,58.1%,68.0%,58.3%
1.36,0.0%,1.9%,46.3%,88.0%,48.3%
0.91,5.8%,10.5%,52.3%,68.9%,51.2%
0.79,6.7%,4.0%,62.7%,70.2%,35.7%
1.09,4.7%,3.5%,52.9%,68.9%,37.5%
1.87,13.8%,1.7%,67.2%,89.7%,68.4%
1.11,6.5%,7.8%,68.8%,67.9%,54.2%
0.85,11.4%,6.8%,68.2%,80.0%,28.6%
1.93,18.0%,3.3%,63.9%,94.9%,54.5%
0.95,5.1%,2.5%,59.5%,70.2%,56.3%
1.32,1.8%,3.6%,57.1%,68.8%,50.0%
1.40,7.2%,4.3%,60.9%,78.6%,55.6%
1.17,2.4%,4.9%,59.8%,69.4%,45.5%
0.64,5.4%,0.0%,71.4%,52.5%,56.3%
1.38,16.7%,3.3%,63.3%,73.7%,63.6%
1.69,14.6%,2.1%,60.4%,82.8%,57.9%
0.63,4.6%,5.7%,63.2%,63.6%,37.5%
1.06,9.6%,4.2%,62.9%,83.8%,58.1%
1.63,8.5%,4.9%,48.8%,77.5%,59.5%
