DR,A%,DF%,1stIn,1st%,2nd%
0.43,3.9%,3.9%,62.7%,65.6%,36.8%
0.70,7.2%,2.9%,69.6%,66.7%,38.1%
1.00,7.4%,0.7%,68.1%,68.5%,46.5%
0.82,0.0%,0.0%,52.0%,80.8%,62.5%
0.70,7.3%,2.4%,53.7%,63.6%,44.7%
1.28,3.8%,2.5%,65.0%,71.2%,60.7%
0.89,13.5%,0.0%,53.8%,85.7%,45.8%
0.61,0.0%,2.4%,47.6%,45.0%,40.9%
0.89,5.2%,3.1%,67.0%,72.3%,53.1%
1.36,7.3%,1.8%,72.7%,72.5%,53.3%
0.85,6.3%,4.8%,69.8%,59.1%,47.4%
0.78,7.4%,3.3%,58.7%,64.8%,46.0%
1.29,10.0%,5.0%,65.0%,71.8%,57.1%
1.60,8.2%,0.0%,53.1%,61.5%,73.9%
