DR,A%,DF%,1stIn,1st%,2nd%
1.25,0.0%,1.4%,58.1%,62.8%,61.3%
1.08,7.1%,0.0%,57.6%,77.2%,52.4%
1.70,4.4%,0.0%,48.9%,86.4%,60.9%
0.42,0.0%,1.9%,63.0%,52.9%,40.0%
1.30,8.6%,2.9%,65.7%,84.8%,50.0%
0.98,8.8%,1.0%,67.6%,73.9%,48.5%
1.09,5.4%,4.5%,55.9%,67.7%,55.1%
2.23,5.9%,3.9%,47.1%,91.7%,70.4%
1.02,7.3%,3.1%,56.3%,72.2%,42.9%
0.72,4.9%,4.9%,59.0%,61.1%,36.0%
1.26,17.0%,2.0%,58.0%,79.3%,64.3%
0.70,7.3%,7.3%,67.3%,51.4%,27.8%
1.30,10.3%,5.2%,51.7%,70.0%,50.0%
1.99,9.8%,2.4%,53.7%,72.7%,73.7%
1.40,0.0%,5.3%,54.4%,67.7%,65.4%
0.90,3.5%,0.0%,59.6%,70.6%,52.2%
1.56,4.6%,9.2%,63.1%,82.9%,62.5%
1.08,10.1%,1.1%,60.7%,75.9%,57.1%
1.22,7.1%,4.1%,63.3%,72.6%,50.0%
