DR,A%,DF%,1stIn,1st%,2nd%
0.78,4.6%,4.6%,64.8%,67.1%,44.7%
0.87,0.9%,1.8%,61.6%,66.7%,48.8%
0.83,1.7%,5.2%,70.7%,61.0%,41.2%
0.95,7.4%,5.3%,63.8%,81.7%,50.0%
0.85,1.3%,2.5%,69.6%,60.0%,54.2%
1.13,5.0%,3.8%,63.7%,68.6%,48.3%
0.87,3.9%,2.6%,57.9%,59.1%,46.9%
0.89,4.8%,1.6%,61.3%,60.5%,66.7%
1.00,1.2%,3.5%,58.8%,58.0%,51.4%
0.74,9.7%,0.0%,66.1%,61.0%,42.9%
1.50,7.1%,1.2%,79.8%,74.6%,64.7%
0.76,2.0%,2.9%,69.6%,59.2%,32.3%
0.50,1.7%,5.0%,56.7%,61.8%,26.9%
1.09,6.5%,2.2%,65.6%,67.2%,59.4%
