DR,A%,DF%,1stIn,1st%,2nd%
0.63,7.2%,0.0%,52.2%,61.1%,54.5%
1.08,3.2%,6.3%,53.7%,78.4%,40.9%
0.68,1.5%,6.2%,55.4%,77.8%,44.8%
1.21,9.5%,7.8%,62.1%,72.2%,45.5%
1.22,10.3%,4.4%,57.4%,79.5%,51.7%
2.01,14.8%,3.7%,66.7%,83.3%,55.6%
1.15,9.1%,9.1%,62.5%,76.4%,39.4%
0.84,9.5%,1.6%,63.5%,70.0%,39.1%
1.48,7.0%,5.3%,70.2%,65.0%,64.7%
1.41,14.8%,3.7%,61.1%,78.8%,47.6%
1.10,7.2%,6.0%,60.2%,76.0%,57.6%
1.01,12.8%,5.8%,55.8%,81.3%,42.1%
0.46,5.6%,4.2%,70.4%,70.0%,38.1%
2.00,26.2%,2.4%,66.7%,85.7%,42.9%
1.37,22.2%,11.1%,63.0%,88.2%,35.0%
1.13,6.1%,6.8%,63.6%,70.2%,47.9%
0.90,7.6%,5.1%,48.1%,76.3%,46.3%
0.78,4.7%,2.8%,53.8%,61.4%,53.1%
0.99,7.1%,9.4%,61.2%,78.8%,33.3%
1.11,10.0%,3.3%,51.1%,73.9%,52.3%
1.39,14.9%,3.2%,60.6%,78.9%,56.8%
