DR,A%,DF%,1stIn,1st%,2nd%
0.63,0.0%,3.9%,66.7%,41.2%,47.1%
0.92,4.7%,2.8%,60.7%,67.7%,54.8%
0.78,8.5%,3.4%,59.3%,71.4%,45.8%
1.39,5.4%,2.7%,60.8%,82.2%,51.7%
0.95,6.0%,2.6%,57.8%,74.6%,51.0%
0.25,9.4%,3.8%,62.3%,78.8%,30.0%
0.92,9.6%,4.8%,52.9%,70.9%,49.0%
1.26,10.0%,4.3%,50.0%,77.1%,48.6%
0.94,10.5%,0.0%,56.6%,74.4%,51.5%
2.01,12.5%,0.0%,60.4%,82.8%,57.9%
1.40,19.7%,0.0%,50.0%,81.8%,66.7%
1.45,8.3%,3.3%,58.3%,82.9%,64.0%
1.33,7.9%,3.2%,54.0%,85.3%,58.6%
1.24,13.4%,1.5%,59.7%,77.5%,63.0%
0.60,11.5%,2.9%,71.2%,68.9%,23.3%
1.09,2.9%,5.9%,63.7%,76.9%,37.8%
1.99,22.7%,1.3%,66.7%,86.0%,72.0%
1.12,8.4%,3.7%,62.6%,74.6%,62.5%
