DR,A%,DF%,1stIn,1st%,2nd%
1.32,3.0%,6.1%,62.1%,63.4%,52.0%
0.94,3.1%,0.0%,68.4%,80.6%,32.3%
1.11,1.0%,1.0%,52.5%,69.8%,41.7%
1.02,4.1%,1.0%,67.3%,66.7%,50.0%
1.64,9.6%,3.8%,71.2%,75.7%,66.7%
0.90,3.1%,3.1%,61.5%,67.5%,44.0%
0.89,5.3%,7.4%,61.7%,62.1%,33.3%
0.83,7.9%,1.8%,64.9%,70.3%,62.5%
0.86,16.7%,5.6%,77.8%,64.3%,50.0%
1.10,3.6%,3.6%,65.5%,74.5%,48.3%
1.20,4.9%,2.5%,50.6%,73.2%,50.0%
0.75,4.3%,1.4%,59.4%,75.6%,32.1%
1.40,7.7%,4.6%,76.9%,70.0%,53.3%
1.21,4.5%,1.5%,70.1%,74.5%,60.0%
1.31,6.3%,0.0%,63.5%,80.0%,56.5%
0.83,5.5%,5.5%,61.6%,66.7%,50.0%
1.68,3.6%,0.0%,67.9%,65.8%,61.1%
1.50,10.1%,1.4%,71.0%,79.6%,70.0%
1.15,1.3%,2.7%,53.3%,62.5%,60.0%
0.98,2.3%,4.5%,61.4%,57.4%,41.2%
