DR,A%,DF%,1stIn,1st%,2nd%
0.81,3.0%,0.0%,62.1%,63.4%,52.0%
1.09,8.0%,5.3%,73.3%,60.0%,50.0%
1.27,2.4%,0.0%,57.1%,68.8%,58.3%
1.40,3.3%,6.6%,50.8%,80.6%,53.3%
2.27,12.2%,4.1%,75.5%,75.7%,58.3%
0.67,6.0%,6.0%,56.0%,75.0%,31.8%
1.35,9.9%,1.4%,73.2%,65.4%,57.9%
1.59,7.1%,3.6%,57.1%,84.4%,54.2%
1.29,6.3%,1.3%,62.5%,76.0%,60.0%
2.08,10.8%,0.0%,70.3%,73.1%,72.7%
0.76,0.0%,1.3%,74.7%,53.6%,26.3%
2.37,12.2%,0.0%,65.9%,85.2%,64.3%
0.70,1.9%,7.5%,58.5%,54.8%,36.4%
1.43,6.0%,1.5%,64.2%,65.1%,62.5%
1.36,11.5%,2.1%,65.6%,82.5%,54.5%
0.81,5.0%,1.7%,75.0%,57.8%,26.7%
0.94,7.7%,2.9%,69.2%,62.5%,34.4%
1.11,3.8%,1.0%,71.2%,82.4%,46.7%
3.16,6.7%,0.0%,63.3%,89.5%,63.6%
0.98,4.9%,2.4%,69.5%,70.2%,52.0%
