DR,A%,DF%,1stIn,1st%,2nd%
0.56,0.0%,0.0%,66.7%,40.9%,40.9%
1.28,0.0%,2.7%,78.1%,64.9%,62.5%
1.00,0.0%,0.0%,74.8%,55.8%,57.7%
1.28,0.0%,4.7%,67.2%,65.1%,61.9%
1.60,1.9%,1.9%,71.7%,71.1%,60.0%
0.95,4.9%,3.7%,61.7%,60.0%,51.6%
1.01,4.3%,4.3%,72.0%,55.2%,46.2%
0.82,3.5%,1.2%,71.8%,57.4%,54.2%
1.10,4.1%,2.1%,68.0%,75.8%,32.3%
1.12,5.9%,1.0%,74.5%,69.7%,53.8%
2.55,12.5%,0.0%,90.0%,80.6%,75.0%
1.26,6.1%,1.2%,63.4%,71.2%,56.7%
0.74,10.0%,0.8%,63.1%,67.1%,58.3%
1.39,9.3%,1.3%,74.7%,76.8%,52.6%
1.08,2.8%,2.8%,67.9%,66.7%,61.8%
1.58,4.2%,2.1%,70.8%,67.6%,64.3%
0.98,2.2%,3.3%,65.9%,66.7%,58.1%
1.16,3.8%,5.1%,54.4%,69.8%,50.0%
1.37,0.0%,0.0%,60.7%,75.7%,45.8%
1.40,3.3%,1.7%,65.0%,69.2%,61.9%
