DR,A%,DF%,1stIn,1st%,2nd%
0.54,1.3%,6.3%,54.4%,62.8%,52.8%
1.02,3.2%,1.1%,69.5%,60.6%,58.6%
1.35,3.6%,8.9%,58.9%,78.8%,47.8%
1.47,9.3%,0.0%,55.6%,76.7%,62.5%
1.16,0.0%,4.3%,62.8%,61.0%,37.1%
0.73,5.0%,6.7%,61.7%,70.3%,52.2%
1.36,3.5%,0.0%,64.9%,75.7%,40.0%
2.26,0.0%,2.5%,60.0%,79.2%,68.8%
0.51,5.4%,3.6%,55.4%,64.5%,44.0%
0.98,2.0%,3.0%,69.3%,61.4%,58.1%
1.00,2.7%,5.4%,64.0%,64.8%,42.5%
0.80,3.8%,2.5%,61.3%,59.2%,45.2%
1.07,1.9%,4.8%,64.4%,62.7%,48.6%
1.05,3.6%,3.6%,63.1%,64.2%,51.6%
1.04,2.2%,1.1%,58.7%,70.4%,65.8%
1.47,3.2%,1.6%,62.9%,74.4%,65.2%
1.12,0.0%,5.3%,67.4%,62.5%,45.2%
1.54,1.9%,1.9%,71.7%,76.3%,40.0%
1.31,0.0%,8.9%,48.2%,66.7%,51.7%
0.90,6.3%,1.3%,62.5%,50.0%,33.3%
