DR,A%,DF%,1stIn,1st%,2nd%
1.28,2.2%,4.4%,68.1%,74.2%,55.2%
0.76,4.4%,0.0%,73.7%,66.7%,50.0%
0.86,10.1%,1.4%,71.0%,73.5%,50.0%
2.02,4.1%,2.0%,63.3%,93.5%,38.9%
1.60,13.5%,7.7%,53.8%,78.6%,58.3%
0.39,0.0%,0.0%,60.0%,61.9%,35.7%
1.35,4.7%,4.7%,59.4%,84.2%,57.7%
0.83,8.0%,7.1%,58.0%,61.5%,38.3%
1.13,10.3%,5.9%,63.2%,76.7%,48.0%
1.51,12.3%,0.0%,69.2%,71.1%,65.0%
1.23,6.8%,3.4%,55.9%,72.7%,50.0%
1.16,10.1%,3.8%,60.8%,66.7%,58.1%
1.08,4.8%,6.0%,66.3%,70.9%,50.0%
0.92,5.1%,5.1%,59.3%,65.7%,58.3%
1.43,3.4%,0.0%,61.0%,66.7%,69.6%
1.18,4.5%,7.5%,50.7%,67.6%,48.5%
0.46,1.3%,8.9%,50.6%,50.0%,43.6%
1.13,3.7%,3.7%,66.2%,66.7%,58.7%
6.00,0.0%,0.0%,61.5%,87.5%,100.0%
