DR,A%,DF%,1stIn,1st%,2nd%
0.76,1.8%,5.5%,52.7%,65.5%,46.2%
0.80,2.1%,6.4%,57.4%,66.7%,40.0%
1.14,7.9%,0.0%,54.0%,79.4%,62.1%
0.69,1.7%,0.0%,76.7%,65.2%,35.7%
1.04,7.6%,2.2%,69.6%,70.3%,57.1%
1.26,4.6%,3.1%,58.5%,81.6%,70.4%
0.36,1.6%,4.9%,54.1%,57.6%,39.3%
1.35,2.6%,0.9%,59.8%,71.4%,66.0%
0.87,4.5%,2.2%,60.7%,66.7%,51.4%
0.60,2.8%,2.8%,70.1%,65.3%,50.0%
1.85,2.0%,0.0%,62.0%,90.3%,68.4%
1.08,6.8%,0.0%,63.6%,62.5%,71.9%
1.75,10.2%,0.0%,61.0%,80.6%,69.6%
1.37,3.8%,1.9%,51.9%,77.8%,48.0%
1.48,5.9%,0.0%,70.6%,58.3%,80.0%
