DR,A%,DF%,1stIn,1st%,2nd%
0.27,7.9%,0.0%,65.8%,56.0%,38.5%
0.84,5.6%,2.8%,68.1%,65.3%,47.8%
1.73,3.6%,7.1%,51.8%,75.9%,59.3%
1.12,5.8%,5.8%,67.0%,73.9%,52.9%
0.69,1.6%,6.6%,60.7%,62.2%,45.8%
0.66,14.5%,7.2%,56.5%,66.7%,43.3%
0.71,8.1%,5.4%,60.8%,75.6%,27.6%
1.10,9.2%,2.0%,58.2%,71.9%,48.8%
0.86,2.4%,4.7%,60.0%,70.6%,52.9%
1.28,6.7%,1.3%,61.3%,73.9%,58.6%
0.84,6.3%,4.7%,48.4%,77.4%,42.4%
1.79,2.0%,0.0%,54.0%,74.1%,69.6%
0.41,4.5%,4.5%,70.5%,54.8%,23.1%
1.29,11.5%,0.0%,55.7%,73.5%,63.0%
0.69,8.6%,3.4%,53.4%,74.2%,51.9%
2.02,39.3%,0.0%,71.4%,80.0%,75.0%
1.47,14.9%,4.6%,65.5%,84.2%,56.7%
1.36,17.2%,3.4%,56.9%,81.8%,56.0%
