DR,A%,DF%,1stIn,1st%,2nd%
1.39,0.0%,4.7%,60.9%,76.9%,56.0%
1.41,0.0%,1.7%,61.0%,83.3%,56.5%
1.97,4.3%,2.2%,60.9%,78.6%,77.8%
2.02,4.1%,2.0%,69.4%,88.2%,53.3%
1.56,3.5%,5.3%,54.4%,74.2%,69.2%
1.35,3.2%,9.5%,55.6%,60.0%,50.0%
2.94,15.6%,6.3%,40.6%,84.6%,68.4%
1.17,0.0%,0.0%,33.3%,100.0%,50.0%
1.08,2.9%,3.9%,59.2%,67.2%,57.1%
1.17,2.2%,3.3%,59.3%,68.5%,64.9%
1.37,4.4%,2.9%,61.8%,73.8%,65.4%
1.37,4.8%,3.6%,61.9%,65.4%,68.8%
0.66,1.4%,0.0%,53.4%,74.4%,44.1%
1.21,8.1%,3.2%,67.7%,76.2%,50.0%
1.49,2.5%,8.9%,69.6%,81.8%,41.7%
1.47,3.6%,5.5%,60.0%,72.7%,50.0%
1.29,10.5%,4.2%,44.2%,81.0%,47.2%
0.74,5.6%,0.0%,50.0%,51.9%,48.1%
